日期,医生等级,每日病例量,每日总费用,每日费用病例比,该等级医生数量,工作日/周末
2025-09-23,中级,13.0,6986.0,537.38,3,工作日
2025-09-23,初级,11.0,6239.0,567.18,2,工作日
2025-09-23,预备,1.5,520.0,346.67,2,工作日
2025-09-23,高级,13.5,7832.0,580.15,2,工作日
2025-09-24,中级,14.25,7371.25,517.28,4,工作日
2025-09-24,初级,11.0,5130.0,466.36,2,工作日
2025-09-24,高级,19.5,7993.0,409.9,2,工作日
2025-09-25,中级,16.67,8997.33,539.84,3,工作日
2025-09-25,初级,11.5,5764.0,501.22,2,工作日
2025-09-25,预备,2.0,760.0,380.0,1,工作日
2025-09-25,高级,16.0,7945.0,496.56,2,工作日
2025-09-26,中级,13.33,6882.67,516.2,3,工作日
2025-09-26,初级,9.0,4652.67,516.96,3,工作日
2025-09-26,预备,5.0,1890.0,378.0,1,工作日
2025-09-26,高级,11.67,6044.0,518.06,3,工作日
2025-09-27,中级,21.0,11208.0,533.71,1,周末
2025-09-27,初级,12.0,6246.67,520.56,3,周末
2025-09-27,高级,19.33,10904.67,564.03,3,周末
2025-09-28,中级,12.67,6616.33,522.34,3,周末
2025-09-28,初级,11.5,6870.0,597.39,2,周末
2025-09-28,预备,2.33,863.33,370.0,3,周末
2025-09-28,高级,15.25,7391.5,484.69,4,周末
2025-09-29,中级,15.33,7332.0,478.17,3,工作日
2025-09-29,初级,9.33,4766.67,510.71,3,工作日
2025-09-29,预备,2.5,770.0,308.0,2,工作日
2025-09-29,高级,20.0,9573.0,478.65,2,工作日
2025-09-30,中级,14.75,7917.0,536.75,4,工作日
2025-09-30,初级,7.67,4183.33,545.65,3,工作日
2025-09-30,预备,1.5,390.0,260.0,2,工作日
2025-09-30,高级,7.5,4421.0,589.47,2,工作日
2025-10-01,中级,16.0,7821.5,488.84,4,工作日
2025-10-01,初级,9.0,4936.67,548.52,3,工作日
2025-10-01,预备,2.33,846.67,362.86,3,工作日
2025-10-01,高级,12.0,6090.0,507.5,1,工作日
2025-10-02,中级,21.0,11399.0,542.81,2,工作日
2025-10-02,初级,10.33,5393.33,521.94,3,工作日
2025-10-02,预备,4.5,1985.0,441.11,2,工作日
2025-10-02,高级,23.0,11891.5,517.02,2,工作日
2025-10-03,中级,17.67,9428.0,533.66,3,工作日
2025-10-03,初级,12.33,6793.33,550.81,3,工作日
2025-10-03,预备,1.5,490.0,326.67,2,工作日
2025-10-03,高级,12.67,5750.0,453.95,3,工作日
2025-10-04,中级,22.0,10916.0,496.18,1,周末
2025-10-04,初级,16.0,7560.0,472.5,1,周末
2025-10-04,高级,15.75,7859.5,499.02,4,周末
2025-10-05,中级,17.0,8478.67,498.75,3,周末
2025-10-05,初级,11.5,5510.0,479.13,2,周末
2025-10-05,预备,3.5,1160.0,331.43,2,周末
2025-10-05,高级,22.33,11334.67,507.52,3,周末
2025-10-06,中级,12.0,5940.67,495.06,3,工作日
2025-10-06,初级,9.75,5695.0,584.1,4,工作日
2025-10-06,预备,3.0,1020.0,340.0,1,工作日
2025-10-06,高级,17.0,9033.0,531.35,2,工作日
2025-10-07,中级,17.5,9782.0,558.97,2,工作日
2025-10-07,初级,13.33,6696.0,502.2,3,工作日
2025-10-07,预备,2.33,736.67,315.71,3,工作日
2025-10-07,高级,17.0,8233.0,484.29,2,工作日
2025-10-08,中级,15.5,8244.5,531.9,2,工作日
2025-10-08,初级,6.0,3465.0,577.5,4,工作日
2025-10-08,预备,1.67,570.0,342.0,3,工作日
2025-10-08,高级,13.0,6906.5,531.27,2,工作日
2025-10-09,中级,18.0,8844.0,491.33,2,工作日
2025-10-09,初级,10.5,5345.0,509.05,4,工作日
2025-10-09,预备,3.67,1356.0,369.82,3,工作日
2025-10-09,高级,18.5,10148.0,548.54,2,工作日
2025-10-10,中级,16.5,9089.0,550.85,2,工作日
2025-10-10,初级,10.0,5588.67,558.87,3,工作日
2025-10-10,预备,3.5,1540.0,440.0,2,工作日
2025-10-10,高级,18.5,10545.0,570.0,2,工作日
2025-10-11,中级,20.0,10902.0,545.1,2,周末
2025-10-11,初级,7.0,2720.0,388.57,2,周末
2025-10-11,预备,3.5,1920.0,548.57,2,周末
2025-10-11,高级,15.0,7429.0,495.27,4,周末
2025-10-12,中级,22.0,11554.0,525.18,2,周末
2025-10-12,初级,10.5,4969.0,473.24,2,周末
2025-10-12,预备,2.0,740.0,370.0,1,周末
2025-10-12,高级,16.67,9349.67,560.98,3,周末
2025-10-13,中级,21.5,11018.0,512.47,2,工作日
2025-10-13,初级,15.0,7779.0,518.6,2,工作日
2025-10-13,高级,23.0,11116.0,483.3,2,工作日
2025-10-14,中级,14.33,7258.0,506.37,3,工作日
2025-10-14,初级,7.0,3700.0,528.57,2,工作日
2025-10-14,预备,1.0,260.0,260.0,1,工作日
2025-10-14,高级,9.0,4866.67,540.74,3,工作日
2025-10-15,中级,18.0,8699.0,483.28,2,工作日
2025-10-15,初级,9.0,4332.67,481.41,3,工作日
2025-10-15,高级,20.0,9243.0,462.15,2,工作日
2025-10-16,中级,17.33,8187.33,472.35,3,工作日
2025-10-16,初级,9.0,4149.5,461.06,4,工作日
2025-10-16,预备,2.5,1210.0,484.0,4,工作日
2025-10-16,高级,9.0,4978.5,553.17,2,工作日
2025-10-17,中级,18.5,9879.5,534.03,4,工作日
2025-10-17,初级,12.5,5999.0,479.92,2,工作日
2025-10-17,预备,1.5,795.0,530.0,2,工作日
2025-10-17,高级,12.0,6918.0,576.5,1,工作日
2025-10-18,中级,16.5,9099.0,551.45,2,周末
2025-10-18,初级,11.5,6975.0,606.52,2,周末
2025-10-18,预备,3.0,1410.0,470.0,2,周末
2025-10-18,高级,21.5,12173.0,566.19,2,周末
2025-10-19,中级,17.25,8558.0,496.12,4,周末
2025-10-19,初级,15.0,6805.0,453.67,2,周末
2025-10-19,预备,3.0,1300.0,433.33,2,周末
2025-10-19,高级,12.67,6971.33,550.37,3,周末
2025-10-20,中级,11.0,5983.2,543.93,5,工作日
2025-10-20,初级,10.0,5136.67,513.67,3,工作日
2025-10-20,预备,3.5,1800.0,514.29,2,工作日
2025-10-20,高级,12.0,5602.67,466.89,3,工作日
2025-10-21,中级,15.33,8089.33,527.57,3,工作日
2025-10-21,初级,10.5,4826.0,459.62,4,工作日
2025-10-21,预备,2.67,1660.0,622.5,3,工作日
2025-10-21,高级,17.5,8352.0,477.26,2,工作日
2025-10-22,中级,18.0,9365.33,520.3,3,工作日
2025-10-22,初级,11.33,4933.33,435.29,3,工作日
2025-10-22,预备,2.67,913.33,342.5,3,工作日
2025-10-22,高级,7.5,3663.5,488.47,2,工作日
2025-10-23,中级,16.5,8685.5,526.39,4,工作日
2025-10-23,初级,10.33,6198.33,599.84,3,工作日
2025-10-23,预备,2.75,1052.5,382.73,4,工作日
2025-10-23,高级,12.0,9216.0,768.0,1,工作日
2025-10-24,中级,16.67,8411.33,504.68,3,工作日
